name,emoji_unicode,average_color
🐠,U+1F420,195 160 26
🫵,U+1FAF5,250 190 26
🫶,U+1FAF6,251 191 26
😎,U+1F60E,152 119 27
🐞,U+1F41E,139 15 27
🎺,U+1F3BA,238 180 27
🤏,U+1F90F,251 192 27
🌹,U+1F339,191 50 27
🧏,U+1F9CF,207 145 28
🔶,U+1F536,250 154 28
🫴,U+1FAF4,249 191 28
👇,U+1F447,253 194 28
👈,U+1F448,253 194 28
👉,U+1F449,253 194 28
💝,U+1F49D,223 127 29
👶,U+1F476,231 175 29
👃,U+1F443,248 190 29
🫳,U+1FAF3,249 192 29
🫘,U+1FAD8,168 50 29
⛺,U+26FA,240 141 3
🧦,U+1F9E6,245 158 3
🫥,U+1FAE5,140 110 70
🫰,U+1FAF0,250 193 30
🦶,U+1F9B6,252 194 30
🧨,U+1F9E8,220 55 30
🥓,U+1F953,187 71 30
🟠,U+1F7E0,244 134 31
🟧,U+1F7E7,244 135 31
🍊,U+1F34A,230 159 31
🧣,U+1F9E3,250 50 50
📯,U+1F4EF,243 178 31
🍟,U+1F35F,234 116 32
🍔,U+1F354,190 117 32
🏀,U+1F3C0,232 117 32
🌞,U+1F31E,239 176 32
🏺,U+1F3FA,133 75 32
🤦,U+1F926,188 120 33
🏉,U+1F3C9,240 145 33
🦐,U+1F990,213 46 33
🧛,U+1F9DB,158 100 34
🤷,U+1F937,200 126 34
🫄,U+1FAC4,206 131 34
🌾,U+1F33E,185 169 34
🦖,U+1F996,137 175 34
🦞,U+1F99E,209 36 34
🔅,U+1F505,236 132 35
🔆,U+1F506,236 132 35
😖,U+1F616,217 155 35
😧,U+1F627,220 157 35
😞,U+1F61E,233 166 35
🦻,U+1F9BB,235 173 35
🍗,U+1F357,206 93 35
😦,U+1F626,225 165 36
🔔,U+1F514,249 191 36
🐓,U+1F413,106 64 36
👨,U+1F468,174 128 37
🛷,U+1F6F7,240 150 37
😟,U+1F61F,223 165 37
🚸,U+1F6B8,198 168 37
🔒,U+1F512,238 175 37
✨,U+2728,239 218 37
🥐,U+1F950,223 135 38
🔓,U+1F513,237 175 38
🤥,U+1F925,223 179 38
🤔,U+1F914,235 186 38
👩,U+1F469,154 112 39
🧒,U+1F9D2,158 115 39
👦,U+1F466,162 118 39
😵,U+1F635,197 141 39
😫,U+1F62B,201 145 39
😩,U+1F629,207 148 39
🥒,U+1F952,91 165 39
📒,U+1F4D2,234 174 39
🥱,U+1F971,226 183 39
🧀,U+1F9C0,239 192 39
🎻,U+1F3BB,162 68 39
🧑,U+1F9D1,159 116 40
🧍,U+1F9CD,191 118 40
👴,U+1F474,236 182 40
😌,U+1F60C,225 183 40
😉,U+1F609,227 184 40
😒,U+1F612,229 186 40
😕,U+1F615,230 186 40
🫠,U+1FAE0,232 190 40
🤨,U+1F928,236 190 40
🍠,U+1F360,244 162 41
😾,U+1F63E,220 168 41
😼,U+1F63C,226 172 41
😮,U+1F62E,221 180 41
😑,U+1F611,231 188 41
🙁,U+1F641,232 188 41
🙂,U+1F642,231 189 41
🙃,U+1F643,231 189 41
😏,U+1F60F,233 189 41
🫤,U+1FAE4,233 191 41
🤭,U+1F92D,239 191 41
😔,U+1F614,237 192 41
🖤,U+1F5A4,41 41 41
👧,U+1F467,151 110 42
🧟,U+1F9DF,0 170 243
🫅,U+1FAC5,215 163 42
😣,U+1F623,226 183 42
😐,U+1F610,232 189 42
😗,U+1F617,234 191 42
😙,U+1F619,235 191 42
🤫,U+1F92B,239 195 42
😶,U+1F636,240 195 42
⭕,U+2B55,228 42 42
❌,U+274C,229 42 42
👯,U+1F46F,85 55 102
👪,U+1F46A,166 122 43
🐈,U+1F408,230 167 43
😊,U+1F60A,225 179 43
🤗,U+1F917,228 185 43
😚,U+1F61A,234 185 43
🗾,U+1F5FE,148 202 43
🥎,U+1F94E,198 211 43
🌇,U+1F307,181 102 44
🧔,U+1F9D4,145 106 44
🦒,U+1F992,209 126 44
😺,U+1F63A,215 164 44
🐱,U+1F431,215 165 44
😸,U+1F638,217 166 44
🍯,U+1F36F,222 167 44
🟥,U+1F7E5,206 46 44
🍎,U+1F34E,202 57 44
🎈,U+1F388,243 92 44
😽,U+1F63D,226 167 45
🫡,U+1FAE1,235 192 45
🍒,U+1F352,194 64 45
💘,U+1F498,220 89 45
🥀,U+1F940,174 91 45
🤓,U+1F913,175 142 46
😴,U+1F634,232 185 46
💓,U+1F493,207 47 46
💔,U+1F494,207 48 46
💕,U+1F495,209 48 46
🛑,U+1F6D1,210 48 46
😘,U+1F618,228 170 47
🤐,U+1F910,220 181 47
🟡,U+1F7E1,248 200 47
👝,U+1F45D,250 158 163
🌟,U+1F31F,245 202 47
🦀,U+1F980,199 51 47
🐪,U+1F42A,202 129 48
😢,U+1F622,215 156 48
🔱,U+1F531,238 189 48
📌,U+1F4CC,200 50 48
💋,U+1F48B,207 50 48
🍅,U+1F345,211 59 48
👛,U+1F45B,222 70 48
🤠,U+1F920,172 133 49
🐊,U+1F40A,75 145 49
😝,U+1F61D,211 162 49
😥,U+1F625,215 162 49
🦎,U+1F98E,86 165 49
😋,U+1F60B,226 177 49
🤤,U+1F924,218 181 49
🥴,U+1F974,233 183 49
💛,U+1F49B,249 202 49
🟨,U+1F7E8,249 207 49
🩸,U+1FA78,215 51 49
🎪,U+1F3AA,213 99 49
👘,U+1F458,122 148 50
😛,U+1F61B,216 167 50
🧐,U+1F9D0,225 182 50
🫢,U+1FAE2,239 195 50
🪝,U+1FA9D,251 202 50
🎀,U+1F380,221 57 50
🔕,U+1F515,172 89 50
😿,U+1F63F,215 166 51
⭐,U+2B50,244 203 51
😆,U+1F606,205 164 52
😃,U+1F603,206 165 52
🧰,U+1F9F0,172 49 52
🏮,U+1F3EE,194 54 52
📍,U+1F4CD,200 56 52
🥨,U+1F968,200 111 53
😄,U+1F604,210 169 53
